Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo Suite,,,,14-04-2025 12:23:38,14-04-2025 12:23:41,2.710s,FAILED
,,,,,,,
Test Cases/Tenders-Portal/SCRUM-71 Validate Navigation Links on AusTender Website,,"Summary: Validate Navigation Links on AusTender Website
Description: ",jira-integration,14-04-2025 12:23:40,14-04-2025 12:23:41,0.104s,FAILED
"runFeatureFile(""Include/features/SCRUM-71 Validate Navigation Links on AusTender Website.feature"")",,,,14-04-2025 12:23:40,14-04-2025 12:23:41,0.072s,FAILED
