Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo Suite,,,,14-04-2025 12:11:59,14-04-2025 12:12:01,1.713s,FAILED
,,,,,,,
Test Cases/Tenders-Portal/SCRUM-71 Validate Navigation Links on AusTender Website,,"Summary: Validate Navigation Links on AusTender Website
Description: ",jira-integration,14-04-2025 12:12:01,14-04-2025 12:12:01,0.047s,FAILED
"runFeatureFile(""Include/features/SCRUM-71 Validate Navigation Links on AusTender Website.feature"")",,,,14-04-2025 12:12:01,14-04-2025 12:12:01,0.036s,FAILED
